Date,Verb,C1,Infinitive,C2,Present tense,C3,Past tense,C4,Past participle,Percent
2020-11-24 00:00:00,Grill,,å grille,,griller,,grillte¨,,grillte,50
2020-11-24 00:00:00,Snow,,å snø,,snø,,snørte,,har snødd,50
2020-11-24 00:00:00,help,,å hjelpe,,hjelper,,hjelpte,,hjalp,50
2020-11-25 00:00:00,Discuss,,å diskuss,,diskuterer,,diskuterte,,diskurteret,50
2020-11-25 00:00:00,Pass (as in exam),,å pass,,å består,,bestør,,bestodde,0
2021-03-01 00:00:00,"be, feel",,å føle,,føler seg,,felte seg,,følet,25
2021-03-01 00:00:00,grip,,å grape,,griper,,grippte,,grepte,25
2021-03-01 00:00:00,rise,,å rise,,eser,,este,,eset,50
2021-03-01 00:00:00,"be found, exist",,å ble,,finner,,finde,,fint,0
2021-03-01 00:00:00,mount,,å moiunt,,beslår,,beslør,,beslodde,25
2021-03-01 00:00:00,purchase,,å kjøpe,,kjøper,,kjøpte,,kjøpet,75
2021-03-01 00:00:00,"tread, step",,å ser,,trer,,trete,,trådet,25
2021-04-01 00:00:00,earn,,å løne,,tjener,,tjente,,tjentt,50
2021-04-01 00:00:00,"enjoy, thrive",,å thrive,,triver,,tridde,,trivt,0
2021-04-01 00:00:00,move,,å mover,,flytter,,flutte,,flytt,25
2021-04-01 00:00:00,gape,,å gave,,gaper,,gapte,,gaptt,50
2021-04-01 00:00:00,"wait, expect",,å vente,,venter,,vent,,ventt,50
2021-04-01 00:00:00,sign,,å skrive,,underskriver,,underskrevte,,har underskrevte,25
2021-04-01 00:00:00,fall,,å fell,,faller,,fallte,,falt,25
2021-04-01 00:00:00,sign,,å underskrive,,underskriver,,underskrev,,har underskrevet,100
2021-04-01 00:00:00,bother,,å bother,,bryer,,bridde,,brydte,0
2021-04-01 00:00:00,fill,,å fille,,fyler,,fyllte,,fylet,0
2021-04-01 00:00:00,infect,,infection,,smitter,,smitet,,smite,25
2021-05-01 00:00:00,weigh,,å tunmp,,veier,,veste,,veidet,25
2021-05-01 00:00:00,mount,,å munn,,beslår,,beståte,,beslott,25
2021-05-01 00:00:00,dread,,å drømme,,gruer seg,,grued seg,,grud seg,25
2021-05-01 00:00:00,hug,,å hugge,,hugger,,huggte,,hugg,50
2021-05-01 00:00:00,sign,,å skrive,,overskriver,,overskrivte,,overskrevt,25
2021-05-01 00:00:00,crow,,crowe,,galer,,galte,,golt,25
2021-05-01 00:00:00,bleed,,å blå,,blør,,blørte,,blød,25
2021-05-01 00:00:00,dream,,å drømme,,drømmer,,drømte,,drømet,75
2021-05-01 00:00:00,"force, compel",,å force,,tvingler,,tvinglte,,tvangte,0
2021-05-01 00:00:00,crack,,å krakke,,knekker,,knekkte,,knak,25
2021-05-01 00:00:00,eat,,å spise,,spiser,,spiste,,har spist,100
2021-06-01 00:00:00,ride,,å ridd,,rir,,rirte,,redt,25
